# Log de treino do SFT v1 (curva de loss + status). NOTA: os avisos do trl que
# ecoavam INSTANCIAS de treino longas (com possivel PII do corpus) foram REMOVIDOS
# desta versao publica; o log bruto fica so na HPC. Ver docs/training/README.md.
# ---------------------------------------------------------------------------
[sft] exemplos de treino | training examples: 85,892
[sft] exemplos de treino | training examples: 85,892
[sft] Full fine-tuning (LR 1e-05, 2.0 épocas) — use accelerate + ZeRO-3 (configs/accelerate_config_zero3.yaml)
[sft] checagem do collator OK: 50 tokens mascarados (prompt), 10 com loss (resposta).
[sft] Full fine-tuning (LR 1e-05, 2.0 épocas) — use accelerate + ZeRO-3 (configs/accelerate_config_zero3.yaml)
[sft] checagem do collator OK: 50 tokens mascarados (prompt), 10 com loss (resposta).
{'loss': 1.6255, 'grad_norm': 0.010575202805609658, 'learning_rate': 2.4774743377144265e-06, 'epoch': 1.4}
{'loss': 1.5915, 'grad_norm': 0.010058783947177168, 'learning_rate': 2.256083511453747e-06, 'epoch': 1.43}
{'loss': 1.6289, 'grad_norm': 0.01035680411395969, 'learning_rate': 2.042138937932388e-06, 'epoch': 1.46}
{'loss': 1.6041, 'grad_norm': 0.010605657309587263, 'learning_rate': 1.8362212052889827e-06, 'epoch': 1.49}
{'loss': 1.6049, 'grad_norm': 0.010399617266520663, 'learning_rate': 1.63888911897084e-06, 'epoch': 1.52}
{'loss': 1.6305, 'grad_norm': 0.010228641656048077, 'learning_rate': 1.4506781852859836e-06, 'epoch': 1.55}
{'loss': 1.6271, 'grad_norm': 0.010723346922785152, 'learning_rate': 1.2720991581827852e-06, 'epoch': 1.58}
{'loss': 1.6139, 'grad_norm': 0.010010149906957462, 'learning_rate': 1.1036366532008552e-06, 'epoch': 1.61}
{'loss': 1.6367, 'grad_norm': 0.01033046519332075, 'learning_rate': 9.457478323545749e-07, 'epoch': 1.64}
{'loss': 1.6184, 'grad_norm': 0.010423556323712618, 'learning_rate': 7.988611635181099e-07, 'epoch': 1.67}
{'loss': 1.6148, 'grad_norm': 0.010246912432903214, 'learning_rate': 6.633752576786251e-07, 'epoch': 1.7}
{'loss': 1.6151, 'grad_norm': 0.009317435953162222, 'learning_rate': 5.396577872130676e-07, 'epoch': 1.73}
{'loss': 1.628, 'grad_norm': 0.010618740334869245, 'learning_rate': 4.2804448812404754e-07, 'epoch': 1.76}
{'loss': 1.6406, 'grad_norm': 0.009893943349761318, 'learning_rate': 3.288382489424502e-07, 'epoch': 1.79}
{'loss': 1.6283, 'grad_norm': 0.010657797136574514, 'learning_rate': 2.4230828876927293e-07, 'epoch': 1.82}
{'loss': 1.5989, 'grad_norm': 0.01052501562935398, 'learning_rate': 1.6868942668726408e-07, 'epoch': 1.85}
{'loss': 1.6058, 'grad_norm': 0.00991467037293835, 'learning_rate': 1.0818144452496293e-07, 'epoch': 1.88}
{'loss': 1.6169, 'grad_norm': 0.010275856588019246, 'learning_rate': 6.094854470245326e-08, 'epoch': 1.91}
{'loss': 1.5939, 'grad_norm': 0.009582590373985957, 'learning_rate': 2.711890463007405e-08, 'epoch': 1.94}
{'loss': 1.6278, 'grad_norm': 0.010230246582146912, 'learning_rate': 6.784328869339218e-09, 'epoch': 1.97}
{'loss': 1.636, 'grad_norm': 0.01061769969904099, 'learning_rate': 0.0, 'epoch': 2.0}
{'train_runtime': 61588.4566, 'train_samples_per_second': 2.789, 'train_steps_per_second': 0.011, 'train_loss': 1.7463916821266288, 'epoch': 2.0}
[sft] concluído | done -> /workspace/checkpoints/manaca-1b-instruct-full
[sft] concluído | done -> /workspace/checkpoints/manaca-1b-instruct-full
